Aleatório,Estimado,Correto,Diferença,K
5.0,0.95511,0.0,0.95511,186.0
3.0,0.19847,0.0,0.19847,187.0
2.0,0.17005,0.0,0.17005,188.0
2.0,0.62918,0.0,0.62918,189.0
4.0,3.58634,0.0,3.58634,190.0
2.0,0.83463,0.0,0.83463,191.0
5.0,0.99132,0.0,0.99132,192.0
1.0,0.09771,0.0,0.09771,193.0
1.0,0.30319,0.0,0.30319,194.0
3.0,1.03299,0.0,1.03299,195.0
4.0,1.17271,0.0,1.17271,196.0
2.0,0.05238,0.0,0.05238,197.0
5.0,0.84599,0.0,0.84599,198.0
4.0,1.28455,0.0,1.28455,199.0
2.0,0.18551,0.0,0.18551,200.0
2.0,0.16029,0.0,0.16029,201.0
4.0,3.92925,0.0,3.92925,202.0
3.0,0.33738,0.0,0.33738,203.0
3.0,1.22819,0.0,1.22819,204.0
2.0,0.79788,0.0,0.79788,205.0
4.0,0.26248,0.0,0.26248,206.0
4.0,1.83792,0.0,1.83792,207.0
5.0,0.80075,0.0,0.80075,208.0
5.0,0.8295,0.0,0.8295,209.0
1.0,0.15273,0.0,0.15273,210.0
2.0,1.37885,0.0,1.37885,211.0
1.0,0.52218,0.0,0.52218,212.0
3.0,0.50114,0.0,0.50114,213.0
5.0,0.22388,0.0,0.22388,214.0
5.0,0.46933,0.0,0.46933,215.0
3.0,0.17952,0.0,0.17952,216.0
5.0,1.11576,0.0,1.11576,217.0
5.0,4.76653,0.0,4.76653,218.0
3.0,0.80233,0.0,0.80233,219.0
4.0,0.92322,0.0,0.92322,220.0
3.0,0.13536,0.0,0.13536,221.0
5.0,0.31887,0.0,0.31887,222.0
3.0,2.9106,0.0,2.9106,223.0
1.0,0.32421,0.0,0.32421,224.0
5.0,0.18177,0.0,0.18177,225.0
2.0,0.21474,0.0,0.21474,226.0
2.0,1.65874,0.0,1.65874,227.0
4.0,0.62665,0.0,0.62665,228.0
4.0,3.80603,0.0,3.80603,229.0
3.0,0.21552,0.0,0.21552,230.0
4.0,0.09505,0.0,0.09505,231.0
4.0,3.72216,0.0,3.72216,232.0
1.0,0.09033,0.0,0.09033,233.0
2.0,0.2321,0.0,0.2321,234.0
1.0,0.02607,0.0,0.02607,235.0
2.0,0.22526,0.0,0.22526,236.0
2.0,0.03672,0.0,0.03672,237.0
4.0,0.47948,0.0,0.47948,238.0
1.0,0.34481,0.0,0.34481,239.0
3.0,0.26367,0.0,0.26367,240.0
2.0,0.28467,0.0,0.28467,241.0
4.0,0.12225,0.0,0.12225,242.0
5.0,0.8461,0.0,0.8461,243.0
5.0,0.16779,0.0,0.16779,244.0
1.0,0.00073,0.0,0.00073,245.0
1.0,0.05723,0.0,0.05723,246.0
1.0,0.25971,0.0,0.25971,247.0
1.0,1.00623,0.0,1.00623,248.0
4.0,0.30752,0.0,0.30752,249.0
2.0,1.92737,0.0,1.92737,250.0
5.0,1.38949,0.0,1.38949,251.0
3.0,0.20858,0.0,0.20858,252.0
5.0,0.26759,0.0,0.26759,253.0
5.0,0.46754,0.0,0.46754,254.0
2.0,0.20632,0.0,0.20632,255.0
1.0,1.1134,0.0,1.1134,256.0
4.0,3.76396,0.0,3.76396,257.0
5.0,0.28407,0.0,0.28407,258.0
2.0,0.10381,0.0,0.10381,259.0
3.0,0.28621,0.0,0.28621,260.0
5.0,0.4302,0.0,0.4302,261.0
3.0,0.80279,0.0,0.80279,262.0
5.0,1.68224,0.0,1.68224,263.0
5.0,0.40279,0.0,0.40279,264.0
2.0,1.06488,0.0,1.06488,265.0
2.0,0.77562,0.0,0.77562,266.0
2.0,0.44253,0.0,0.44253,267.0
5.0,0.47286,0.0,0.47286,268.0
4.0,0.49701,0.0,0.49701,269.0
1.0,0.74616,0.0,0.74616,270.0
2.0,1.69089,0.0,1.69089,271.0
4.0,3.59204,0.0,3.59204,272.0
3.0,0.47928,0.0,0.47928,273.0
4.0,0.3901,0.0,0.3901,274.0
4.0,0.81245,0.0,0.81245,275.0
4.0,2.5089,0.0,2.5089,276.0
3.0,0.17643,0.0,0.17643,277.0
2.0,0.83423,0.0,0.83423,278.0
1.0,0.9114,0.0,0.9114,279.0
3.0,2.72375,0.0,2.72375,280.0
4.0,0.1735,0.0,0.1735,281.0
5.0,0.51703,0.0,0.51703,282.0
1.0,0.26163,0.0,0.26163,283.0
5.0,0.53274,0.0,0.53274,284.0
1.0,0.05766,0.0,0.05766,285.0
3.0,1.24368,0.0,1.24368,286.0
5.0,0.94297,0.0,0.94297,287.0
1.0,0.00774,0.0,0.00774,288.0
2.0,0.07836,0.0,0.07836,289.0
1.0,0.26102,0.0,0.26102,290.0
2.0,2.05164,0.0,2.05164,291.0
5.0,4.35182,0.0,4.35182,292.0
4.0,2.39158,0.0,2.39158,293.0
5.0,1.14665,0.0,1.14665,294.0
2.0,1.58154,0.0,1.58154,295.0
5.0,0.90803,0.0,0.90803,296.0
5.0,4.73813,0.0,4.73813,297.0
4.0,2.98116,0.0,2.98116,298.0
2.0,0.7476,0.0,0.7476,299.0
3.0,1.92775,0.0,1.92775,300.0
2.0,1.61841,0.0,1.61841,301.0
4.0,1.26738,0.0,1.26738,302.0
5.0,0.78143,0.0,0.78143,303.0
5.0,2.91829,0.0,2.91829,304.0
4.0,3.88198,0.0,3.88198,305.0
5.0,1.86247,0.0,1.86247,306.0
2.0,1.86201,0.0,1.86201,307.0
5.0,1.84779,0.0,1.84779,308.0
3.0,2.77087,0.0,2.77087,309.0
2.0,1.9818,0.0,1.9818,310.0
3.0,0.16701,0.0,0.16701,311.0
3.0,0.66976,0.0,0.66976,312.0
5.0,4.67312,0.0,4.67312,313.0
1.0,0.38028,0.0,0.38028,314.0
1.0,0.99306,0.0,0.99306,315.0
5.0,0.44456,0.0,0.44456,316.0
1.0,0.4204,0.0,0.4204,317.0
4.0,2.49291,0.0,2.49291,318.0
4.0,3.50695,0.0,3.50695,319.0
4.0,0.39498,0.0,0.39498,320.0
3.0,2.13147,0.0,2.13147,321.0
4.0,3.39179,0.0,3.39179,322.0
1.0,0.04052,0.0,0.04052,323.0
3.0,2.29311,0.0,2.29311,324.0
5.0,3.27502,0.0,3.27502,325.0
4.0,0.21921,0.0,0.21921,326.0
3.0,0.30262,0.0,0.30262,327.0
