Aleatório,Estimado,Correto,Diferença,K
2.0,0.28717,2.5,-2.21283,275.0
5.0,0.72633,2.5,-1.77367,276.0
3.0,0.43081,2.5,-2.06919,277.0
4.0,0.56554,2.5,-1.93446,278.0
5.0,0.7246,2.5,-1.7754,279.0
1.0,0.14046,2.5,-2.35954,280.0
1.0,0.16152,2.5,-2.33848,281.0
5.0,0.79138,2.5,-1.70862,282.0
3.0,0.46804,2.5,-2.03196,283.0
1.0,0.17214,2.5,-2.32786,284.0
3.0,0.47221,2.5,-2.02779,285.0
2.0,0.31856,2.5,-2.18144,286.0
5.0,0.81439,2.5,-1.68561,287.0
3.0,0.47817,2.5,-2.02183,288.0
5.0,0.86232,2.5,-1.63768,289.0
1.0,0.19683,2.5,-2.30317,290.0
5.0,0.87815,2.5,-1.62185,291.0
1.0,0.17313,2.5,-2.32687,292.0
5.0,0.90064,2.5,-1.59936,293.0
5.0,1.01326,2.5,-1.48674,294.0
2.0,0.43535,2.5,-2.06465,295.0
5.0,1.01193,2.5,-1.48807,296.0
1.0,0.25001,2.5,-2.24999,297.0
3.0,0.61659,2.5,-1.88341,298.0
3.0,0.63125,2.5,-1.86875,299.0
4.0,0.83647,2.5,-1.66353,300.0
5.0,1.04874,2.5,-1.45126,301.0
1.0,0.26633,2.5,-2.23367,302.0
2.0,0.45191,2.5,-2.04809,303.0
5.0,1.05907,2.5,-1.44093,304.0
2.0,0.46248,2.5,-2.03752,305.0
2.0,0.46184,2.5,-2.03816,306.0
2.0,0.46515,2.5,-2.03485,307.0
4.0,0.847,2.5,-1.653,308.0
4.0,0.86233,2.5,-1.63767,309.0
4.0,0.86144,2.5,-1.63856,310.0
1.0,0.27528,2.5,-2.22472,311.0
3.0,0.65925,2.5,-1.84075,312.0
4.0,0.85706,2.5,-1.6429399999999998,313.0
4.0,0.87602,2.5,-1.62398,314.0
5.0,1.09536,2.5,-1.40464,315.0
5.0,1.10729,2.5,-1.39271,316.0
3.0,0.68241,2.5,-1.81759,317.0
5.0,1.09571,2.5,-1.40429,318.0
1.0,0.26051,2.5,-2.23949,319.0
3.0,0.66041,2.5,-1.83959,320.0
3.0,0.66829,2.5,-1.83171,321.0
2.0,0.45128,2.5,-2.04872,322.0
5.0,1.09924,2.5,-1.40076,323.0
4.0,0.86903,2.5,-1.63097,324.0
5.0,1.09689,2.5,-1.40311,325.0
2.0,0.44516,2.5,-2.05484,326.0
1.0,0.2477,2.5,-2.2523,327.0
4.0,0.90072,2.5,-1.59928,328.0
1.0,0.26262,2.5,-2.23738,329.0
1.0,0.30433,2.5,-2.19567,330.0
5.0,1.21117,2.5,-1.28883,331.0
2.0,0.52031,2.5,-1.97969,332.0
3.0,0.73868,2.5,-1.76132,333.0
3.0,0.74114,2.5,-1.75886,334.0
1.0,0.30464,2.5,-2.19536,335.0
3.0,0.74014,2.5,-1.75986,336.0
3.0,0.75554,2.5,-1.74446,337.0
1.0,0.30935,2.5,-2.19065,338.0
2.0,0.51226,2.5,-1.98774,339.0
1.0,0.31663,2.5,-2.18337,340.0
1.0,0.31335,2.5,-2.18665,341.0
4.0,1.00997,2.5,-1.49003,342.0
2.0,0.55077,2.5,-1.94923,343.0
4.0,1.0285,2.5,-1.4715,344.0
1.0,0.32829,2.5,-2.17171,345.0
3.0,0.82556,2.5,-1.6744400000000002,346.0
3.0,0.83295,2.5,-1.66705,347.0
3.0,0.84011,2.5,-1.65989,348.0
5.0,1.40155,2.5,-1.09845,349.0
3.0,0.85356,2.5,-1.64644,350.0
3.0,0.86367,2.5,-1.63633,351.0
3.0,0.86173,2.5,-1.63827,352.0
3.0,0.86279,2.5,-1.63721,353.0
1.0,0.37102,2.5,-2.12898,354.0
3.0,0.87884,2.5,-1.6211600000000002,355.0
2.0,0.62481,2.5,-1.87519,356.0
5.0,1.44646,2.5,-1.05354,357.0
3.0,0.88323,2.5,-1.61677,358.0
5.0,1.44996,2.5,-1.05004,359.0
1.0,0.38793,2.5,-2.11207,360.0
3.0,0.90223,2.5,-1.59777,361.0
1.0,0.39685,2.5,-2.10315,362.0
1.0,0.39681,2.5,-2.10319,363.0
1.0,0.39505,2.5,-2.10495,364.0
2.0,0.6713,2.5,-1.8287,365.0
3.0,0.94021,2.5,-1.55979,366.0
2.0,0.67157,2.5,-1.82843,367.0
1.0,0.41821,2.5,-2.08179,368.0
1.0,0.43383,2.5,-2.06617,369.0
2.0,0.72072,2.5,-1.77928,370.0
3.0,1.00694,2.5,-1.49306,371.0
3.0,1.03997,2.5,-1.46003,372.0
1.0,0.47948,2.5,-2.02052,373.0
4.0,1.38257,2.5,-1.11743,374.0
5.0,1.70609,2.5,-0.7939099999999999,375.0
1.0,0.48779,2.5,-2.01221,376.0
5.0,1.76211,2.5,-0.7378899999999999,377.0
3.0,1.15193,2.5,-1.34807,378.0
4.0,1.49338,2.5,-1.00662,379.0
1.0,0.57128,2.5,-1.92872,380.0
4.0,1.51336,2.5,-0.98664,381.0
5.0,1.88921,2.5,-0.6107899999999999,382.0
1.0,0.57319,2.5,-1.92681,383.0
2.0,0.88239,2.5,-1.61761,384.0
3.0,1.20706,2.5,-1.29294,385.0
4.0,1.54938,2.5,-0.95062,386.0
1.0,0.58168,2.5,-1.91832,387.0
5.0,1.92096,2.5,-0.57904,388.0
1.0,0.57245,2.5,-1.92755,389.0
3.0,1.20061,2.5,-1.29939,390.0
2.0,0.94436,2.5,-1.55564,391.0
4.0,1.65922,2.5,-0.8407800000000001,392.0
3.0,1.2968,2.5,-1.2032,393.0
2.0,0.99845,2.5,-1.50155,394.0
3.0,1.34586,2.5,-1.15414,395.0
4.0,1.72958,2.5,-0.7704200000000001,396.0
2.0,1.04251,2.5,-1.45749,397.0
4.0,1.80219,2.5,-0.69781,398.0
5.0,2.24044,2.5,-0.25956,399.0
1.0,0.75227,2.5,-1.74773,400.0
5.0,2.24468,2.5,-0.2553200000000002,401.0
1.0,0.74895,2.5,-1.75105,402.0
3.0,1.46519,2.5,-1.03481,403.0
5.0,2.26578,2.5,-0.2342200000000001,404.0
5.0,2.2857,2.5,-0.2143000000000001,405.0
3.0,1.4737,2.5,-1.0263,406.0
3.0,1.4728,2.5,-1.0272,407.0
2.0,1.10982,2.5,-1.39018,408.0
4.0,1.87917,2.5,-0.62083,409.0
5.0,2.31243,2.5,-0.18757,410.0
4.0,1.90069,2.5,-0.59931,411.0
2.0,1.12223,2.5,-1.37777,412.0
2.0,1.12521,2.5,-1.37479,413.0
1.0,0.79992,2.5,-1.70008,414.0
5.0,2.43242,2.5,-0.0675799999999999,415.0
1.0,0.81608,2.5,-1.68392,416.0
1.0,0.81325,2.5,-1.68675,417.0
3.0,1.57066,2.5,-0.92934,418.0
1.0,0.81668,2.5,-1.68332,419.0
4.0,2.02737,2.5,-0.4726300000000001,420.0
4.0,2.02423,2.5,-0.4757699999999998,421.0
2.0,1.20873,2.5,-1.29127,422.0
4.0,2.05732,2.5,-0.4426800000000002,423.0
3.0,1.62345,2.5,-0.8765499999999999,424.0
5.0,2.51324,2.5,0.0132400000000001,425.0
4.0,2.04593,2.5,-0.4540700000000002,426.0
2.0,1.21015,2.5,-1.28985,427.0
2.0,1.20956,2.5,-1.29044,428.0
4.0,2.06321,2.5,-0.4367899999999998,429.0
3.0,1.62062,2.5,-0.87938,430.0
5.0,2.52289,2.5,0.0228899999999998,431.0
2.0,1.22992,2.5,-1.27008,432.0
5.0,2.56206,2.5,0.0620599999999997,433.0
2.0,1.27111,2.5,-1.22889,434.0
5.0,2.63418,2.5,0.1341800000000002,435.0
5.0,2.63718,2.5,0.1371799999999998,436.0
1.0,0.87477,2.5,-1.62523,437.0
3.0,1.72594,2.5,-0.77406,438.0
5.0,2.68474,2.5,0.1847400000000001,439.0
3.0,1.72692,2.5,-0.77308,440.0
1.0,0.89534,2.5,-1.60466,441.0
2.0,1.32361,2.5,-1.17639,442.0
5.0,2.72691,2.5,0.2269100000000001,443.0
1.0,0.91345,2.5,-1.58655,444.0
5.0,2.73352,2.5,0.2335199999999999,445.0
3.0,1.76724,2.5,-0.7327600000000001,446.0
5.0,2.85727,2.5,0.3572700000000002,447.0
2.0,1.39292,2.5,-1.10708,448.0
4.0,2.36397,2.5,-0.1360299999999998,449.0
3.0,1.92227,2.5,-0.5777300000000001,450.0
2.0,1.46122,2.5,-1.03878,451.0
1.0,1.03694,2.5,-1.46306,452.0
2.0,1.46453,2.5,-1.03547,453.0
1.0,1.03856,2.5,-1.46144,454.0
1.0,1.05293,2.5,-1.44707,455.0
2.0,1.50611,2.5,-0.99389,456.0
1.0,1.05469,2.5,-1.44531,457.0
5.0,3.05937,2.5,0.5593699999999999,458.0
1.0,1.07092,2.5,-1.42908,459.0
3.0,2.01146,2.5,-0.48854,460.0
2.0,1.55015,2.5,-0.94985,461.0
4.0,2.55075,2.5,0.0507499999999998,462.0
1.0,1.09023,2.5,-1.40977,463.0
4.0,2.54991,2.5,0.0499100000000001,464.0
4.0,2.70797,2.5,0.20797,465.0
3.0,2.17487,2.5,-0.3251300000000001,466.0
3.0,2.22073,2.5,-0.2792699999999999,467.0
1.0,1.24227,2.5,-1.25773,468.0
5.0,3.40367,2.5,0.90367,469.0
